Date,kWh,Temp_avg,Dew_avg,Hum_avg,Wind_avg,Press_avg,Precipit
2017-08-19,1.958875,87.6,74.7,67.4,4.8,29.9,0.0
2017-08-20,1.9248333333333332,86.4,73.9,68.4,5.3,29.9,0.0
2017-08-21,1.5256666666666667,84.2,74.8,74.9,6.0,29.9,0.0
2017-08-22,1.5205833333333334,85.0,73.0,69.7,3.8,29.9,0.0
2017-08-23,1.3139583333333333,84.5,73.4,70.5,5.4,29.8,0.0
2017-08-24,1.3066250000000001,83.0,73.2,74.0,7.6,29.8,0.15
2017-08-25,1.1915,77.7,73.7,87.5,14.7,29.7,0.0
2017-08-26,0.7837916666666667,77.3,75.1,92.6,18.4,29.7,0.89
2017-08-27,0.8532083333333333,75.4,73.8,95.0,15.3,29.6,13.43
2017-08-28,0.8127916666666666,72.4,70.0,92.1,23.9,29.6,10.75
2017-08-29,0.9631666666666666,72.6,69.7,90.4,21.9,29.6,5.28
2017-08-30,1.0804583333333333,78.2,67.8,71.1,14.8,29.6,0.91
2017-08-31,1.1465833333333333,81.4,66.8,63.0,7.0,29.8,0.0
2017-09-01,0.41170833333333334,57.3,49.8,76.3,11.0,30.2,0.0
2017-09-02,0.3802083333333333,58.9,37.5,46.7,8.6,30.1,0.0
2017-09-03,0.4730833333333333,72.0,66.3,82.8,9.3,30.0,0.0
2017-09-04,0.8039166666666667,73.1,60.3,65.1,12.8,29.9,0.0
2017-09-05,0.6337083333333333,74.1,66.1,76.5,9.7,29.9,0.0
2017-09-06,0.9612083333333333,77.1,64.6,66.3,4.8,29.8,0.0
2017-09-07,2.0300416666666665,81.3,72.1,75.7,7.7,29.9,0.0
2017-09-08,0.5983333333333333,81.9,74.6,79.8,5.0,29.9,0.03
2017-09-09,0.9569583333333332,74.2,59.4,61.8,7.0,30.0,0.0
2017-09-10,1.1732500000000001,82.5,73.0,75.2,4.5,29.7,0.0
2017-09-11,0.422375,56.9,51.3,82.6,10.0,30.1,0.06
2017-09-12,0.4721666666666666,43.7,34.3,74.9,3.0,30.1,0.0
2017-09-13,0.7583333333333333,77.4,64.9,66.8,4.8,29.7,0.0
2017-09-14,1.002,79.2,68.2,71.3,7.1,29.8,0.0
2017-09-15,1.0669166666666667,79.3,70.4,76.1,6.3,29.8,0.0
2017-09-16,1.4075833333333334,78.5,70.8,79.8,4.1,29.9,0.0
2017-09-17,1.5817916666666667,80.4,71.9,77.1,4.1,29.9,0.0
2017-09-18,1.0692083333333333,79.7,75.0,86.2,4.9,29.9,0.0
2017-09-19,1.2003333333333333,82.0,74.2,78.9,5.7,29.8,0.42
2017-09-20,1.1977916666666666,83.7,75.3,76.3,7.1,29.8,0.0
2017-09-21,0.8856666666666667,79.1,74.1,84.8,7.3,29.8,0.48
2017-09-22,1.1693333333333333,78.5,72.3,83.2,4.3,29.8,0.02
2017-09-23,1.4495416666666667,79.7,72.1,79.0,6.0,29.8,0.0
2017-09-24,1.4349583333333333,79.0,72.0,81.1,6.8,29.8,0.0
2017-09-25,1.0781666666666667,80.0,72.2,78.5,7.7,29.7,0.01
2017-09-26,0.8678750000000001,80.0,71.8,77.8,5.1,29.8,0.0
2017-09-27,0.963,81.5,72.3,75.6,4.0,29.8,0.0
2017-09-28,0.9630000000000001,80.3,73.0,79.8,4.8,29.8,0.0
2017-09-29,1.1358333333333333,80.9,69.3,69.5,8.7,29.9,0.24
2017-09-30,1.16475,77.3,61.3,59.6,6.3,29.9,0.0
2017-10-01,0.37070833333333336,69.8,61.1,74.3,10.4,30.0,0.0
2017-10-02,0.3827083333333334,64.3,57.0,77.5,9.7,30.1,0.0
2017-10-03,0.6213333333333333,71.8,66.5,83.9,5.7,30.0,0.0
2017-10-04,0.6969583333333333,74.3,67.3,78.8,12.1,29.9,0.0
2017-10-05,0.7561666666666667,75.8,67.0,74.7,11.0,29.9,0.02
2017-10-06,0.8394166666666667,78.3,67.9,71.5,8.4,29.8,0.0
2017-10-07,1.0724583333333333,77.2,72.5,85.9,7.4,29.9,2.31
2017-10-08,0.8673333333333333,83.6,76.0,79.8,5.8,29.9,0.0
2017-10-09,0.7571666666666667,75.2,60.2,61.7,8.0,29.9,0.0
2017-10-10,0.686125,75.3,65.7,74.1,9.0,29.9,0.0
2017-10-11,0.5681666666666666,59.6,48.4,69.3,6.8,30.1,0.0
2017-10-12,0.47104166666666664,49.3,34.6,62.1,2.9,30.3,0.0
2017-10-13,1.1972500000000001,79.8,72.0,79.6,3.9,29.9,0.0
2017-10-14,1.4036666666666668,78.2,72.8,85.9,4.4,29.9,0.0
2017-10-15,1.3234583333333334,77.3,68.7,77.0,8.1,30.0,0.0
2017-10-16,0.5378333333333333,67.7,48.1,51.0,11.6,30.1,0.0
2017-10-17,0.5145416666666667,63.4,47.2,59.0,5.0,30.1,0.0
2017-10-18,0.5267499999999999,66.9,56.4,72.3,3.8,30.0,0.0
2017-10-19,0.7115833333333333,72.0,62.8,75.2,6.3,30.0,0.0
2017-10-20,0.7557083333333333,73.7,70.3,89.3,10.9,29.9,0.01
2017-10-21,0.9830416666666667,76.0,72.9,91.1,7.0,29.8,0.01
2017-10-22,0.8292083333333333,67.8,64.4,89.6,9.9,29.9,0.04
2017-10-23,0.48737499999999995,64.4,49.3,63.8,1.9,30.0,0.97
2017-10-24,0.5003333333333333,65.8,39.8,45.5,10.3,30.1,0.0
2017-10-25,0.43412500000000004,60.6,38.1,48.5,4.5,30.1,0.0
2017-10-26,0.32693960437499997,67.3,51.5,60.0,7.0,29.8,0.0
2017-10-27,0.32349999999999995,63.0,49.7,64.3,11.2,29.8,0.0
2017-10-28,0.323625,51.8,29.0,43.7,11.1,30.0,0.0
